operation,file_size(KB),record_size(KB),num_threads,memory_size,time(ms),throughput(KB/ms)
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.008000,4000.000000
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.006000,5333.333333
read,1024,32,4,4,0.004000,8000.000000
write,1024,128,4,4,0.178000,719.101124
write,1024,128,4,4,0.118000,1084.745763
write,1024,128,4,4,0.122000,1049.180328
write,1024,128,4,4,0.114000,1122.807018
write,1024,128,4,4,0.114000,1122.807018
write,1024,128,4,4,0.114000,1122.807018
write,1024,128,4,4,0.120000,1066.666667
write,1024,128,4,4,0.115000,1113.043478
read,1024,128,4,4,0.036000,3555.555556
read,1024,128,4,4,0.015000,8533.333333
read,1024,128,4,4,0.014000,9142.857143
read,1024,128,4,4,0.014000,9142.857143
read,1024,128,4,4,0.014000,9142.857143
read,1024,128,4,4,0.014000,9142.857143
read,1024,128,4,4,0.013000,9846.153846
read,1024,128,4,4,0.012000,10666.666667
write,1024,512,4,4,0.432000,1185.185185
write,1024,512,4,4,0.354000,1446.327684
read,1024,512,4,4,0.065000,7876.923077
read,1024,512,4,4,0.048000,10666.666667
write,64,32,8,4,0.185000,172.972973
write,64,32,8,4,0.069000,463.768116
read,64,32,8,4,0.032000,1000.000000
read,64,32,8,4,0.013000,2461.538462
write,256,32,8,4,0.128000,250.000000
write,256,32,8,4,0.063000,507.936508
write,256,32,8,4,0.061000,524.590164
write,256,32,8,4,0.064000,500.000000
write,256,32,8,4,0.062000,516.129032
write,256,32,8,4,0.061000,524.590164
write,256,32,8,4,0.062000,516.129032
write,256,32,8,4,0.064000,500.000000
read,256,32,8,4,0.043000,744.186047
read,256,32,8,4,0.007000,4571.428571
read,256,32,8,4,0.007000,4571.428571
read,256,32,8,4,0.007000,4571.428571
read,256,32,8,4,0.007000,4571.428571
read,256,32,8,4,0.006000,5333.333333
read,256,32,8,4,0.006000,5333.333333
read,256,32,8,4,0.011000,2909.090909
write,256,128,8,4,0.191000,670.157068
write,256,128,8,4,0.128000,1000.000000
read,256,128,8,4,0.041000,3121.951220
read,256,128,8,4,0.022000,5818.181818
write,1024,32,8,4,0.129000,248.062016
write,1024,32,8,4,0.064000,500.000000
write,1024,32,8,4,0.059000,542.372881
write,1024,32,8,4,0.060000,533.333333
write,1024,32,8,4,0.060000,533.333333
write,1024,32,8,4,0.060000,533.333333
write,1024,32,8,4,0.065000,492.307692
write,1024,32,8,4,0.061000,524.590164
write,1024,32,8,4,0.067000,477.611940
write,1024,32,8,4,0.064000,500.000000
write,1024,32,8,4,0.060000,533.333333
write,1024,32,8,4,0.064000,500.000000
write,1024,32,8,4,0.062000,516.129032
write,1024,32,8,4,0.064000,500.000000
write,1024,32,8,4,0.062000,516.129032
write,1024,32,8,4,0.060000,533.333333
write,1024,32,8,4,0.058000,551.724138
write,1024,32,8,4,0.065000,492.307692
write,1024,32,8,4,0.063000,507.936508
write,1024,32,8,4,0.068000,470.588235
write,1024,32,8,4,0.063000,507.936508
write,1024,32,8,4,0.060000,533.333333
write,1024,32,8,4,0.064000,500.000000
write,1024,32,8,4,0.064000,500.000000
write,1024,32,8,4,0.068000,470.588235
write,1024,32,8,4,0.065000,492.307692
write,1024,32,8,4,0.062000,516.129032
write,1024,32,8,4,0.062000,516.129032
write,1024,32,8,4,0.063000,507.936508
write,1024,32,8,4,0.063000,507.936508
write,1024,32,8,4,0.066000,484.848485
write,1024,32,8,4,0.060000,533.333333
read,1024,32,8,4,0.045000,711.111111
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.006000,5333.333333
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.006000,5333.333333
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.006000,5333.333333
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.022000,1454.545455
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.006000,5333.333333
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.006000,5333.333333
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.006000,5333.333333
read,1024,32,8,4,0.008000,4000.000000
read,1024,32,8,4,0.007000,4571.428571
read,1024,32,8,4,0.005000,6400.000000
write,1024,128,8,4,0.195000,656.410256
write,1024,128,8,4,0.129000,992.248062
write,1024,128,8,4,0.130000,984.615385
write,1024,128,8,4,0.128000,1000.000000
write,1024,128,8,4,0.127000,1007.874016
write,1024,128,8,4,0.133000,962.406015
write,1024,128,8,4,0.131000,977.099237
write,1024,128,8,4,0.126000,1015.873016
read,1024,128,8,4,0.040000,3200.000000
read,1024,128,8,4,0.017000,7529.411765
read,1024,128,8,4,0.015000,8533.333333
read,1024,128,8,4,0.016000,8000.000000
read,1024,128,8,4,0.016000,8000.000000
read,1024,128,8,4,0.015000,8533.333333
read,1024,128,8,4,0.016000,8000.000000
read,1024,128,8,4,0.013000,9846.153846
write,1024,512,8,4,0.456000,1122.807018
write,1024,512,8,4,0.394000,1299.492386
read,1024,512,8,4,0.078000,6564.102564
read,1024,512,8,4,0.053000,9660.377358
write,64,32,16,4,0.194000,164.948454
write,64,32,16,4,0.073000,438.356164
read,64,32,16,4,0.032000,1000.000000
read,64,32,16,4,0.013000,2461.538462
write,256,32,16,4,0.127000,251.968504
write,256,32,16,4,0.063000,507.936508
write,256,32,16,4,0.065000,492.307692
write,256,32,16,4,0.062000,516.129032
write,256,32,16,4,0.061000,524.590164
write,256,32,16,4,0.060000,533.333333
write,256,32,16,4,0.063000,507.936508
write,256,32,16,4,0.063000,507.936508
read,256,32,16,4,0.042000,761.904762
read,256,32,16,4,0.007000,4571.428571
read,256,32,16,4,0.006000,5333.333333
read,256,32,16,4,0.007000,4571.428571
read,256,32,16,4,0.007000,4571.428571
read,256,32,16,4,0.007000,4571.428571
read,256,32,16,4,0.006000,5333.333333
read,256,32,16,4,0.011000,2909.090909
write,256,128,16,4,0.194000,659.793814
write,256,128,16,4,0.129000,992.248062
read,256,128,16,4,0.042000,3047.619048
read,256,128,16,4,0.022000,5818.181818
write,1024,32,16,4,0.118000,271.186441
write,1024,32,16,4,0.058000,551.724138
write,1024,32,16,4,0.055000,581.818182
write,1024,32,16,4,0.057000,561.403509
write,1024,32,16,4,0.056000,571.428571
write,1024,32,16,4,0.055000,581.818182
write,1024,32,16,4,0.056000,571.428571
write,1024,32,16,4,0.056000,571.428571
write,1024,32,16,4,0.064000,500.000000
write,1024,32,16,4,0.061000,524.590164
write,1024,32,16,4,0.057000,561.403509
write,1024,32,16,4,0.059000,542.372881
write,1024,32,16,4,0.061000,524.590164
write,1024,32,16,4,0.061000,524.590164
write,1024,32,16,4,0.058000,551.724138
write,1024,32,16,4,0.057000,561.403509
write,1024,32,16,4,0.056000,571.428571
write,1024,32,16,4,0.061000,524.590164
write,1024,32,16,4,0.058000,551.724138
write,1024,32,16,4,0.061000,524.590164
write,1024,32,16,4,0.061000,524.590164
write,1024,32,16,4,0.055000,581.818182
write,1024,32,16,4,0.061000,524.590164
write,1024,32,16,4,0.059000,542.372881
write,1024,32,16,4,0.065000,492.307692
write,1024,32,16,4,0.060000,533.333333
write,1024,32,16,4,0.058000,551.724138
write,1024,32,16,4,0.058000,551.724138
write,1024,32,16,4,0.061000,524.590164
write,1024,32,16,4,0.062000,516.129032
write,1024,32,16,4,0.062000,516.129032
write,1024,32,16,4,0.055000,581.818182
read,1024,32,16,4,0.042000,761.904762
read,1024,32,16,4,0.007000,4571.428571
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.007000,4571.428571
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.007000,4571.428571
read,1024,32,16,4,0.020000,1600.000000
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.007000,4571.428571
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.006000,5333.333333
read,1024,32,16,4,0.005000,6400.000000
write,1024,128,16,4,0.188000,680.851064
write,1024,128,16,4,0.120000,1066.666667
write,1024,128,16,4,0.123000,1040.650407
write,1024,128,16,4,0.119000,1075.630252
write,1024,128,16,4,0.119000,1075.630252
write,1024,128,16,4,0.119000,1075.630252
write,1024,128,16,4,0.119000,1075.630252
write,1024,128,16,4,0.116000,1103.448276
read,1024,128,16,4,0.036000,3555.555556
read,1024,128,16,4,0.015000,8533.333333
read,1024,128,16,4,0.014000,9142.857143
read,1024,128,16,4,0.014000,9142.857143
read,1024,128,16,4,0.015000,8533.333333
read,1024,128,16,4,0.014000,9142.857143
read,1024,128,16,4,0.014000,9142.857143
read,1024,128,16,4,0.012000,10666.666667
write,1024,512,16,4,0.473000,1082.452431
write,1024,512,16,4,0.390000,1312.820513
read,1024,512,16,4,0.081000,6320.987654
read,1024,512,16,4,0.054000,9481.481481
write,64,32,32,4,0.170000,188.235294
write,64,32,32,4,0.056000,571.428571
read,64,32,32,4,0.027000,1185.185185
read,64,32,32,4,0.012000,2666.666667
write,256,32,32,4,0.106000,301.886792
write,256,32,32,4,0.047000,680.851064
write,256,32,32,4,0.053000,603.773585
write,256,32,32,4,0.060000,533.333333
write,256,32,32,4,0.049000,653.061224
write,256,32,32,4,0.054000,592.592593
write,256,32,32,4,0.052000,615.384615
write,256,32,32,4,0.050000,640.000000
read,256,32,32,4,0.034000,941.176471
read,256,32,32,4,0.006000,5333.333333
read,256,32,32,4,0.005000,6400.000000
read,256,32,32,4,0.005000,6400.000000
read,256,32,32,4,0.005000,6400.000000
read,256,32,32,4,0.005000,6400.000000
read,256,32,32,4,0.005000,6400.000000
read,256,32,32,4,0.009000,3555.555556
write,256,128,32,4,0.154000,831.168831
write,256,128,32,4,0.103000,1242.718447
read,256,128,32,4,0.032000,4000.000000
read,256,128,32,4,0.019000,6736.842105
write,1024,32,32,4,0.112000,285.714286
write,1024,32,32,4,0.049000,653.061224
write,1024,32,32,4,0.046000,695.652174
write,1024,32,32,4,0.049000,653.061224
write,1024,32,32,4,0.052000,615.384615
write,1024,32,32,4,0.049000,653.061224
write,1024,32,32,4,0.049000,653.061224
write,1024,32,32,4,0.048000,666.666667
write,1024,32,32,4,0.056000,571.428571
write,1024,32,32,4,0.055000,581.818182
write,1024,32,32,4,0.050000,640.000000
write,1024,32,32,4,0.055000,581.818182
write,1024,32,32,4,0.063000,507.936508
write,1024,32,32,4,0.055000,581.818182
write,1024,32,32,4,0.054000,592.592593
write,1024,32,32,4,0.050000,640.000000
write,1024,32,32,4,0.047000,680.851064
write,1024,32,32,4,0.059000,542.372881
write,1024,32,32,4,0.049000,653.061224
write,1024,32,32,4,0.054000,592.592593
write,1024,32,32,4,0.052000,615.384615
write,1024,32,32,4,0.049000,653.061224
write,1024,32,32,4,0.052000,615.384615
write,1024,32,32,4,0.051000,627.450980
write,1024,32,32,4,0.053000,603.773585
write,1024,32,32,4,0.057000,561.403509
write,1024,32,32,4,0.048000,666.666667
write,1024,32,32,4,0.049000,653.061224
write,1024,32,32,4,0.052000,615.384615
write,1024,32,32,4,0.048000,666.666667
write,1024,32,32,4,0.052000,615.384615
write,1024,32,32,4,0.048000,666.666667
read,1024,32,32,4,0.033000,969.696970
read,1024,32,32,4,0.006000,5333.333333
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.015000,2133.333333
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.004000,8000.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.006000,5333.333333
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.005000,6400.000000
read,1024,32,32,4,0.004000,8000.000000
write,1024,128,32,4,0.225000,568.888889
write,1024,128,32,4,0.117000,1094.017094
write,1024,128,32,4,0.113000,1132.743363
write,1024,128,32,4,0.123000,1040.650407
write,1024,128,32,4,0.119000,1075.630252
write,1024,128,32,4,0.120000,1066.666667
write,1024,128,32,4,0.126000,1015.873016
write,1024,128,32,4,0.121000,1057.851240
read,1024,128,32,4,0.045000,2844.444444
read,1024,128,32,4,0.012000,10666.666667
read,1024,128,32,4,0.011000,11636.363636
read,1024,128,32,4,0.013000,9846.153846
read,1024,128,32,4,0.012000,10666.666667
read,1024,128,32,4,0.011000,11636.363636
read,1024,128,32,4,0.012000,10666.666667
read,1024,128,32,4,0.009000,14222.222222
write,1024,512,32,4,0.423000,1210.401891
write,1024,512,32,4,0.360000,1422.222222
read,1024,512,32,4,0.133000,3849.624060
read,1024,512,32,4,0.042000,12190.476190
write,64,32,64,4,0.196000,163.265306
write,64,32,64,4,0.076000,421.052632
read,64,32,64,4,0.033000,969.696970
read,64,32,64,4,0.015000,2133.333333
write,256,32,64,4,0.126000,253.968254
write,256,32,64,4,0.065000,492.307692
write,256,32,64,4,0.068000,470.588235
write,256,32,64,4,0.065000,492.307692
write,256,32,64,4,0.064000,500.000000
write,256,32,64,4,0.066000,484.848485
write,256,32,64,4,0.064000,500.000000
write,256,32,64,4,0.065000,492.307692
read,256,32,64,4,0.041000,780.487805
read,256,32,64,4,0.007000,4571.428571
read,256,32,64,4,0.007000,4571.428571
read,256,32,64,4,0.006000,5333.333333
read,256,32,64,4,0.007000,4571.428571
read,256,32,64,4,0.007000,4571.428571
read,256,32,64,4,0.007000,4571.428571
read,256,32,64,4,0.012000,2666.666667
write,256,128,64,4,0.200000,640.000000
write,256,128,64,4,0.139000,920.863309
read,256,128,64,4,0.041000,3121.951220
read,256,128,64,4,0.023000,5565.217391
write,1024,32,64,4,0.130000,246.153846
write,1024,32,64,4,0.066000,484.848485
write,1024,32,64,4,0.061000,524.590164
write,1024,32,64,4,0.066000,484.848485
write,1024,32,64,4,0.062000,516.129032
write,1024,32,64,4,0.061000,524.590164
write,1024,32,64,4,0.063000,507.936508
write,1024,32,64,4,0.062000,516.129032
write,1024,32,64,4,0.068000,470.588235
write,1024,32,64,4,0.064000,500.000000
write,1024,32,64,4,0.061000,524.590164
write,1024,32,64,4,0.065000,492.307692
write,1024,32,64,4,0.062000,516.129032
write,1024,32,64,4,0.069000,463.768116
write,1024,32,64,4,0.064000,500.000000
write,1024,32,64,4,0.064000,500.000000
write,1024,32,64,4,0.060000,533.333333
write,1024,32,64,4,0.066000,484.848485
write,1024,32,64,4,0.065000,492.307692
write,1024,32,64,4,0.064000,500.000000
write,1024,32,64,4,0.065000,492.307692
write,1024,32,64,4,0.062000,516.129032
write,1024,32,64,4,0.064000,500.000000
write,1024,32,64,4,0.065000,492.307692
write,1024,32,64,4,0.065000,492.307692
write,1024,32,64,4,0.064000,500.000000
write,1024,32,64,4,0.065000,492.307692
write,1024,32,64,4,0.062000,516.129032
write,1024,32,64,4,0.065000,492.307692
write,1024,32,64,4,0.062000,516.129032
write,1024,32,64,4,0.065000,492.307692
write,1024,32,64,4,0.060000,533.333333
read,1024,32,64,4,0.042000,761.904762
read,1024,32,64,4,0.008000,4000.000000
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.006000,5333.333333
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.008000,4000.000000
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.006000,5333.333333
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.021000,1523.809524
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.006000,5333.333333
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.006000,5333.333333
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.006000,5333.333333
read,1024,32,64,4,0.007000,4571.428571
read,1024,32,64,4,0.005000,6400.000000
write,1024,128,64,4,0.189000,677.248677
write,1024,128,64,4,0.131000,977.099237
write,1024,128,64,4,0.135000,948.148148
write,1024,128,64,4,0.130000,984.615385
write,1024,128,64,4,0.127000,1007.874016
write,1024,128,64,4,0.274000,467.153285
write,1024,128,64,4,0.131000,977.099237
write,1024,128,64,4,0.133000,962.406015
read,1024,128,64,4,0.040000,3200.000000
read,1024,128,64,4,0.017000,7529.411765
read,1024,128,64,4,0.016000,8000.000000
read,1024,128,64,4,0.016000,8000.000000
read,1024,128,64,4,0.016000,8000.000000
read,1024,128,64,4,0.016000,8000.000000
read,1024,128,64,4,0.016000,8000.000000
read,1024,128,64,4,0.014000,9142.857143
write,1024,512,64,4,0.482000,1062.240664
write,1024,512,64,4,0.419000,1221.957041
read,1024,512,64,4,0.084000,6095.238095
read,1024,512,64,4,0.057000,8982.456140
write,64,32,2,8,0.208000,153.846154
write,64,32,2,8,0.064000,500.000000
